ID,Título,História,Prioridade,Campo personalizado (Story Points)
11483,História,"Eu, como desenvolvedor, desejo criar middleware para logs de auditoria de ações dos usuários",Medium,3
11482,História,"Eu, como desenvolvedor, desejo Instalar o Sentry.io no backend para monitorar erros e exceptions das requisições",Medium,5
11262,História,Excluir curso/trilha,Medium,1
11261,História,Alterar funções associadas à trilha,Medium,1
11259,História,Publicar alterações,Medium,1
11258,História,Visualizar página de curso já cadastrado,Medium,1
11256,História,"Eu, como Gestor MEC, quero importar curso na plataforma por meio de arquivo csv, para incluir novo curso",Medium,3
11255,História,"Eu, como Gestor MEC, quero exportar o template de criação de conteúdo da plataforma, para criar cursos de maneira offline",Medium,3
11211,História,Adicionar quiz,Medium,2
11209,História,Editar recurso,Medium,3
11208,História,Adicionar recurso,Medium,5
11207,História,Reordenar e excluir tópico,Medium,3
11206,História,Criar e configurar módulo,Medium,5
11205,História,Alterar ícone do curso,Medium,2
11145,História,Sobre,Medium,3
11107,História,Contato,Medium,3
11097,História,Refactor EAD Cursos e Trilhas,High,5
11096,História,Proteção de rotas no front com base no tipo de usuário ,Medium,5
11095,História,Dúvidas frequentes - excluir,Medium,1
11094,História,Dúvidas frequentes - editar,Medium,2
11093,História,Dúvidas frequentes - adicionar uma nova,Medium,2
11092,História,Dúvidas frequentes - busca - filtro,Medium,1
11091,História,Dúvidas frequentes - busca,Medium,1
11090,História,Dúvidas frequentes - expandir,High,2
11088,História,Instrumento normativo - excluir,Medium,1
11087,História,Instrumento normativo - editar,Medium,2
11086,História,Instrumento normativo - adicionar um novo,Medium,2
11085,História,Instrumentos normativos - busca - filtro,Medium,1
11084,História,Instrumentos normativos - Busca,Medium,1
11083,História,Instrumentos normativos,Medium,1
11082,História,Base de conhecimento - Busca,Medium,1
11047,História,Base de conhecimento,Medium,1
11045,História,Sucesso - configuração via Gov,Medium,1
11044,História,Telefone/preenchido (via Gov),Medium,1
11043,História,Telefone/Não preenchido (via gov),Medium,1
11038,História,Esqueci minha senha,Medium,1
11037,História,Senha/preenchido,Medium,1
11036,História,Senha/não preenchido,Medium,1
11035,História,Sucesso,Medium,1
11034,História,Configurar/preenchido,Medium,1
11033,História,Configurar/Não preenchido,Medium,1
11032,História,Início,Medium,1
10975,História,"Eu, como aluno, desejo visualizar uma interação com personagem",Medium,8
10967,História,"Eu, como Gestor MEC, desejo adicionar uma interação com avatar no conteúdo",Medium,8
10518,História,"Eu, como plataforma, desejo salvar a reordenação de itens de uma trilha, curso ou módulo",Medium,13
10515,História,"Eu, como Gestor MEC, desejo salvar alterações realizadas",Medium,8
10475,História,"Eu, como gestor MEC, desejo excluir uma ""Norma""",Medium,1
10474,História,"Eu, como Gestor MEC, desejo editar uma ""Norma""",Medium,3
10473,História,"Eu, como Gestor MEC, desejo incluir uma nova “Norma”",Medium,5
10470,História,"Eu, como Gestor MEC, desejo remover os filtros aplicados as “Normas”",Medium,1
10469,História,"Eu, como Gestor MEC, desejo aplicar um filtro as ""Normas”",Medium,1
10468,História,"Eu, como Gestor MEC, desejo realizar uma busca de Normas",Medium,3
10467,História,"Eu, como plataforma, desejo exibir “Normas”",Medium,3
10466,História,"Eu, como Gestor MEC desejo acessar as Normas",Medium,2
10464,História,"Eu, como gestor MEC, desejo excluir uma ""dúvida frequente”",Medium,1
10463,História,"Eu, como Gestor MEC, desejo editar uma ""dúvida frequente”",Medium,2
10462,História,"Eu, como Gestor MEC, desejo incluir uma nova ""dúvida frequente”",Medium,2
10461,História,"Eu, como Gestor MEC, desejo remover os filtros aplicados em “Dúvidas frequentes”",Medium,1
10460,História,"Eu, como Gestor MEC, desejo aplicar um filtro em ""Dúvidas frequentes”",Medium,5
10459,História,"Eu, como Gestor MEC, desejo expandir/retrair uma ""dúvida frequente”",Medium,2
10458,História,"Eu, como Gestor MEC, desejo realizar uma busca dentro de Dúvidas Frequentes",Medium,2
10457,História,"Eu, como plataforma, desejo exibir uma ""Dúvida Frequente”",Medium,2
10456,História,"Eu, como Gestor MEC desejo acessar as Dúvidas Frequentes",Medium,2
10453,História,"Eu, como Gestor MEC ou avaliador (aluno), desejo visualizar todos os resultados da busca para uma categoria",Medium,3
10452,História,"Eu, como Gestor MEC ou avaliador (aluno), desejo realizar uma busca na Base de Conhecimento",Medium,5
10451,História,"Eu, como Gestor MEC ou avaliador (aluno), desejo acessar a Base de Conhecimento",Medium,3
10407,História,"Eu, como plataforma, desejo exibir a tela resumo da simulação",Medium,2
10406,História,"Eu, como aluno, desejo continuar uma simulação",Medium,13
10405,História,"Eu, como aluno, desejo sair de uma simulação",Medium,8
10404,História,"Eu, como aluno, desejo realizar uma simulação novamente",Medium,8
10403,História,"Eu, como aluno, desejo visualizar panorama de respostas (resumo)",Medium,8
10402,História,"Eu, como aluno, desejo visualizar desfecho ideal",Medium,5
10401,História,"Eu, como aluno, desejo visualizar desfecho ruim",Medium,13
10400,História,"Eu, como plataforma, desejo exibir o feedback da resposta selecionada",Medium,13
10399,História,"Eu, como plataforma, desejo analisar a resposta da simulação do usuário",Medium,13
10398,História,"Eu, como aluno, desejo responder uma questão da simulação",Medium,13
10397,História,"Eu, como aluno, desejo visualizar um anexo de uma cena de simulação",High,13
10396,História,"Eu, como plataforma, desejo exibir uma cena de simulação",Medium,13
10395,História,"Eu, como plataforma, desejo apresentar uma simulação",Medium,2
10203,História,"Eu, como usuário, desejo iniciar a reprodução de um vídeo",Medium,5
10196,História,"Eu, como usuário, desejo iniciar a reprodução do áudio",Medium,5
10156,História,"Eu, como Gestor MEC, desejo alterar a ordem de exibição das cenas",Medium,5
10155,História,"Eu, como Gestor MEC, desejo remover uma cena da simulação",Medium,2
10154,História,"Eu, como Gestor MEC, desejo cadastrar uma nova cena",Medium,21
10153,História,"Eu, como Gestor MEC, desejo selecionar um fundo de cena",Medium,8
10152,História,"Eu, como gestor MEC, desejo remover um arquivo anexado à simulação",Medium,3
10151,História,"Eu, como gestor MEC, desejo anexar um arquivo à simulação",Medium,8
10150,História,"Eu, como gestor MEC, desejo cadastrar mais alternativas de resposta",Medium,13
